threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.9874,0.0396,3.3890792144964825
1.0,20,5000,0.0484,0.9714,0.0362,3.2773830410000184
2.0,20,5000,0.1052,0.9676,0.041,3.156504029644688
2.5,20,5000,0.3204,0.8584,0.0176,2.606888573477987
3.0,20,5000,0.7908,0.3182,0.0076,1.4975785957943555
3.25,20,5000,0.8888,0.2302,0.0072,1.4323205673755008
3.5,20,5000,0.9322,0.1498,0.0064,1.664943560937616
3.75,20,5000,0.965,0.0636,0.0,1.746022773828289
4.0,20,5000,0.9822,0.0184,0.0,1.9589331569526847
4.25,20,5000,0.9918,0.0046,0.0,2.079573377277492
4.5,20,5000,0.9986,0.0008,0.0,2.2127291906978193
5.0,20,5000,0.9998,0.0006,0.0,2.262231701871306
6.0,20,5000,1.0,0.0,0.0,2.263805776655804
