threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.6822,0.0274,0.5811562048484936
1.0,20,5000,0.5392,0.1358,0.0,1.3005008816755594
1.5,20,5000,0.5424,0.1118,0.0,1.5082358619868121
2.0,20,5000,0.6122,0.096,0.0,1.5922698767853454
2.25,20,5000,0.6636,0.0896,0.0,1.5742564173668165
2.5,20,5000,0.716,0.0796,0.0,1.576289807102356
2.75,20,5000,0.751,0.0576,0.0,1.6731192358642977
3.0,20,5000,0.8046,0.0444,0.0,1.7285696269882436
3.5,20,5000,0.9784,0.0144,0.0,1.530656771124668
4.0,20,5000,1.0,0.0144,0.0,1.68142423934564
