threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,12,5217,0.0,0.38202031819053095,0.3103316082039486,3.204892660055707
1.0,12,5042,0.005950019833399445,0.3802062673542245,0.31574771915906386,3.195445767223615
1.5,12,5042,0.005950019833399445,0.3802062673542245,0.31574771915906386,3.195445767223615
2.0,12,5042,0.005950019833399445,0.3802062673542245,0.31574771915906386,3.195445767223615
2.25,12,4211,0.021135122298741392,0.3376870102113512,0.256946093564474,3.1883712283616137
2.5,12,2031,0.15805022156573117,0.2191038897095027,0.04972919743968488,2.9342027609471
2.75,12,1539,0.253411306042885,0.23391812865497075,0.037686809616634176,2.644039975063839
3.0,12,1489,0.2612491605104097,0.229012760241773,0.026192075218267292,2.628173275897898
3.5,12,859,0.459837019790454,0.27357392316647267,0.005820721769499418,1.972241655924061
4.0,12,398,1.0,0.3542713567839196,0.0,0.25493178251209897
