threshold_R,n_episodes,n_steps,intervention_rate,residual_violation_rate,proximity_violation_rate,mean_q_value
0.0,20,5000,0.0,0.9892,0.0544,3.3484215923029783
1.0,20,5000,0.0394,0.9796,0.0578,3.2638627672970406
1.5,20,5000,0.062,0.9658,0.0562,3.2380119689492757
2.0,20,5000,0.119,0.9686,0.0558,3.0945423858762284
2.25,20,5000,0.2088,0.8934,0.0432,2.8609035615766047
2.5,20,5000,0.3562,0.8566,0.0502,2.483705456500952
2.75,20,5000,0.4766,0.7202,0.0484,2.0976566370892886
3.0,20,5000,0.7924,0.3372,0.0076,1.4468036205710635
4.0,20,5000,0.978,0.07,0.0356,1.8731351871032562
5.0,20,5000,0.9996,0.015,0.0,2.187492618656667
